Szam,Kerdes,V1,V2,V3,Kep,HelyesValasz
12,Folytassa a meghatározást! Vontatott kötelék az,"egy vagy több uszályból összeállított, géphajó (vontatóhajó) által továbbított merev kötelék, amely nem tartalmaz úszómûvet vagy úszómûveket.","egy vagy több hajóból, úszómûbõl vagy úszó testek kötelékébõl összeállított, egy vagy több géphajó (vontatóhajó) által vontatott kötelék.","olyan merev kötelék, amelynél a géphajó vagy géphajók mögött helyezkednek el a továbbított úszó létesítmények.",teszt-1422.jpg,2
13,Folytassa a meghatározást! Tolt kötelék az olyan,"merev kötelék, amelyben a kötelékben található hajók közül legalább egy a köteléket továbbító és tolóhajónak nevezett géphajó elõtt helyezkedik el.","merev kötelék, amelyben a kötelékben található hajók közül legfeljebb egy a köteléket továbbító és tolóhajónak nevezett géphajó mellett helyezkedik el.","merev kötelék, amelyben a kötelékben található hajók mindegyike kizárólag a köteléket továbbító és tolóhajónak nevezett géphajó elõtt helyezkedhet el.",,1
14,Folytassa a meghatározást! A motoros vízi sporteszköz olyan,"belsõégésû motoros, vízsugárhajtású 4 m hosszt el nem érõ vízijármû, amelynek rendeltetésszerû mûködtetését a hajótesten - és nem annak belsejében - ülõ, álló vagy térdelõ személy vagy személyek végzik.","sport- és szabadidõs célú belsõégésû motoros, vízsugárhajtású 4 m hosszt el nem érõ vízijármû, amelynek rendeltetésszerû mûködtetését a hajótesten - és nem annak belsejében - ülõ, álló vagy térdelõ személy vagy személyek végzik.","nem sport- és szabadidõs célú belsõégésû motoros, vízsugárhajtású 4 m hosszt el nem érõ vízijármû, amelynek rendeltetésszerû mûködtetését a hajótesten - és nem annak belsejében - ülõ, álló vagy térdelõ személy vagy személyek végzik.",,2
15,Mit tekintünk vitorlás vízi sporteszköznek?,Legfeljebb 3 m2 névleges vitorlafelületû vízi sporteszköz.,Legalább 3 m2 névleges vitorlafelületû vízi sporteszköz.,Legalább 5 m2 névleges vitorlafelületû vízi sporteszköz.,xxx-1648.jpg,2
16,Milyen elõírás vonatkozik a nyilvántartásra kötelezett kishajó vezetõjére az alábbiak közül?,A vezetõnek a kishajó vezetéséhez szükséges képesítéssel kell rendelkeznie.,A vezetõnek kell a hajón tartózkodók közül a legmagasabb képesítéssel rendelkeznie.,A hajó vezetõjének legalább gépnélküli hajóvezetõi képesítéssel kell rendelkeznie.,,1
17,Hárul-e kötelezettség a kishajó vezetõjére az illetékes hatóság ellenõrzési tevékenységével kapcsolatban?,"Igen, biztosítani kell az ellenõrzés lehetõségét, ezen belül azt is, hogy a hatóság képviselõi haladéktalanul a fedélzetre léphessenek.","Nem, az illetékes hatóság ellenõrzési tevékenységével kapcsolatban nincsenek kötelezettségei.","Igen, haladéktalanul értesítenie kell a kishajó tulajdonosát, vagy üzemeltetõjét az ellenõrzés tervezett idõpontjáról jelenlétük biztosítása, nyilatkozattételi jogosultságuk érvényesítése céljából.",,1
18,Mit jelöl a hajón látható kettõs sárga kúp? A kettõs sárga kúp,12 fõnél több utas szállítására engedéllyel rendelkezõ 20 méternél kisebb testhosszúságú hajót jelöl.,20 fõnél több utas szállítására engedéllyel rendelkezõ 15 méternél nagyobb testhosszúságú hajót jelöl.,15 fõnél több utas szállítására engedéllyel rendelkezõ 20 méternél nagyobb testhosszúságú hajót jelöl.,xxx-2461.jpg,1
19,"Mit jelöl a hajón látható csúcsával lefelé nézõ fekete kúp? A fekete kúp azt jelzi, hogy",a vitorlával haladó hajó egyidejûleg saját gépi hajtóberendezését is használ.,a 20 méternél kisebb testhosszúságú hajó 12 fõnél több utas szállítására rendelkezik engedéllyel.,a vitorlával haladó hajó mûveletképességében korlátozott.,xxx-2700.jpg,1
20,Mit jelölnek a hajón látható jelzõtestek (kettõs sárga kúp és fekete kúp)? A jelzõtestek olyan,"20 méternél rövidebb hajót jelölnek, amelyen 12 fõnél több utas szállítását engedélyezték és a vitorla mellett egyidejûleg saját gépi erõt is használ.","12 fõnél több utas szállítására engedéllyel rendelkezõ hajót jelölnek, amely meghajtásához vitorla mellett saját gépi erõt is használ és a legnagyobb testhosszúsága már meghaladja 20 métert.","20 méternél kisebb testhosszúságú vitorlás hajót jelölnek, amely meghajtásához vitorla mellett saját gépi erõt is használ.",xxx-1625.jpg,1
21,Folytassa a meghatározást! Gépi erõvel haladó kishajó a saját,"gépi berendezéssel rendelkezõ kishajó, amely önálló mozgásra alkalmas.",gépi berendezéssel is mûködtethetõ kishajó.,gépi berendezéssel hajtott kishajó.,,3
22,Mit értünk vitorlás kishajón? Vitorlás kishajó,a vitorlával/vitorlákkal felszerelt kishajó.,a vitorlát/vitorlákat is használó kishajó.,a csak vitorlával/vitorlákkal haladó kishajó.,,3
23,Mit értünk egy menetben lévõ kishajó vonatkozásában a megáll kifejezés alatt?,A parthoz viszonyított megállást.,A vízhez viszonyított megállást.,Más hajóhoz viszonyított megállást.,,1
24,Mikor tekintjük a kishajót menetben lévõnek?,Ha az nincs közvetlenül vagy egyéb módon a parthoz kikötve.,Ha az más úszó létesítményekhez képest halad és nincs zátonyon fennakadva.,"Ha az nem áll közvetlenül vagy egyéb módon horgonyon vagy a parthoz kikötve, illetve nincs zátonyon fennakadva.",,3
25,"Folytassa a meghatározást! Menetben lévõ az a kishajó, amely","nem áll közvetlenül vagy egyéb módon horgonyon vagy a parthoz kikötve, illetve nincs zátonyon fennakadva.",más úszó létesítményekhez képest halad és nincs zátonyon fennakadva.,nincs közvetlenül vagy egyéb módon a parthoz kikötve és nincs zátonyon fennakadva.,,1
26,Mi a kötelezettsége a kishajó vezetõjének a kishajón tartandó okmányokkal kapcsolatban?,Az illetékes hatóságok képviselõinak felszólítására be kell mutatni azokat.,"Azokat a Szabályzat elõírása szerint rendszerezve, áttekinthetõen és ellenõrzésre elõkészítve kell a kishajón tartani.",Az eredeti okmányok másolatait kell csak a hajón tartani.,,1
27,Mit értünk biztonságos sebesség fogalma alatt?,"Olyan sebesség, amelynél a hajó vagy a kötelék biztonságosan közlekedhet, mûveletezhet, továbbá az adott körülmények és viszonyok között szükséges távolságon belül megállhat.","Olyan sebesség, amelynél a hajó vagy a kötelék nem kelt olyan hullámokat, illetve nem okoz olyan szívóhatást, amely a víziközlekedésben résztvevõk számára veszélyt jelent.","Olyan sebesség, amelynél a hajó vagy a kötelék nyugodtan közlekedhet, mûveletezhet, továbbá az adott körülmények és viszonyok között szükséges távolságon belül megfelelõ manõverekkel elkerülheti az összeütközést.",,1
28,Folytassa a meghatározást a Szabályzat alapján! Kimerült állapot,"a betegség miatt gyógyszer hatására fellépõ, a magatartási normától való eltérésben megnyilvánuló állapot.",a kialvatlan állapot miatt fellépõ vagy kialakuló és a reakcióidõ növekedésében megnyilvánuló állapot.,"a nem kielégítõ pihenés vagy betegség miatt fellépõ, a magatartási normától való eltérésben és a reakcióidõ növekedésében megnyilvánuló állapot.",,3
29,Mit értünk bódult állapot fogalmán a víziközlekedésben?,"Betegség miatt gyógyszer vagy más hasonlóan ható szer hatására fellépõ, a magatartási normától való eltérésben megnyilvánuló állapot.","Alkohol, kábítószer, illetve gyógyszer vagy más hasonló anyag fogyasztásának következtében fellépõ állapot.","Kialvatlanság és a nem kielégítõ pihenés fellépõ olyan kábult állapot, amely a magatartási normától való eltérésben nyilvánul meg.",,2
30,Az alábbiak közül milyen feltételt támaszt a Szabályzat a menetben lévõ kishajó vezetõjével szemben?,Állandóan a kishajó vezetésére képes állapotban kell lennie.,Nem lehet kimerült vagy bódult állapotban.,"A kishajón való tartózkodása alatt nem fogyaszthat gyógyszert, alkoholt és más hasonlóan ható szert.",,2
31,A vezetõn kívül a kishajón tartózkodók közül ki tartozik felelõsséggel a Szabályzat elõírásainak megtartásáért?,"Csak a kishajó személyzetének tagja(i) függetlenül attól, hogy szolgálatban van(nak)-e vagy pihenõidejét/pihenõidejüket tölti(k).",Aki ideiglenesen maga határozza meg a kishajó útvonalát és sebességét.,A kishajó személyzetének tagjait és a kishajón tartózkodó más személyeket is közös felelõsség terheli a Szabályzat elõírásainak megtartásáért.,,2
32,"Folytassa a meghatározást? Kishajó vezetése olyan személynek engedhetõ át,","akinek a szervezetében nincs kábítószer, gyógyszer, vagy ezek kombinációja.",akinek a vezetésben már legalább egy éves gyakorlattal rendelkezik.,aki nincs kimerült vagy bódult állapotban és nem mutatja látható jeleit a fáradságának.,,3
33,Folytassa az elõírást! A kishajó vezetõje,"szakmai felkészültsége, gyakorlata alapján köteles minden a körülmények által megkövetelt intézkedést megtenni, ha a Szabályzatban foglaltaktól eltér.","a közvetlenül fenyegetõ veszély elhárítása érdekében köteles minden a körülmények által megkövetelt intézkedést megtenni még akkor is, ha emiatt az e Szabályzatban foglaltaktól el kell térnie.","köteles a Szabályzat rendelkezéseitõl eltérni, ha megítélése szerint a körülmények azt indokolják.",,2
34,Eltérhet-e a kishajóvezetõ a Szabályzat elõírásaitól?,"Igen, erre a Szabályzat a közvetlen veszély esetén feljogosítja, amelynek alapján minden a körülmények által megkövetelt intézkedésre kötelezi a kishajóvezetõt.","Igen, mivel a veszélyek elhárítása saját felelõssége, ezért köteles bármely veszély elhárítása érdekében a Szabályzat elõírásait figyelmen kívül hagyni.","Nem, mivel a Szabályzat minden szokásos és rendkívüli helyzet megoldására tartalmaz elõírásokat.",,1
35,Mikor térhet el kishajóvezetõ a Szabályzat rendelkezéseitõl?,"Csak abban az esetben, ha ezzel idéz elõ kárt más hajóban vagy mûtárgyakban.",Csak akkor ha azt közvetlenül fenyegetõ veszély elhárítása érdekében teszi és a körülmények által megkövetelt mértéket nem lépi túl.,"Nem térhet el a Szabályzat elõírásaitól, mert az szabálysértés vagy bûncselekmény lenne.",,2
36,"Milyen elõírás vonatkozik a kishajó horgonyára, ha azt nem használják?","Ha a horgonyt nem használják, az nem lóghat a vízfelszín alá.","Ha horgonyt nem használják, azt teljesen fel kell húzni.",Használaton kívüli horgonyt a kishajó gerincvonala fölé kell emelni.,,2
37,"Milyen kötelezettség terheli a kishajó vezetõjét, ha olyan tárgyat veszített el, amely a hajózás számára akadályt vagy veszélyt jelenthet?","Haladéktalanul értesítenie kell a legközelebbi illetékes hatóságot, a lehetõ legpontosabban megjelölve a tárgy elvesztésének helyét, köteles továbbá lehetõség szerint ezt a helyet megjelölni.","Haladéktalanul értesítenie kell a legközelebbi vízirendészeti szervet, annak és a kiemelést végzõ búvárok helyszínre érkezéséig a hajó a helyszínrõl nem távozhat el.","Köteles az elvesztett tárgyat megkeresni és kiemelni. Amennyiben a kiemelés eredménytelen, a tárgyat nappali és éjszakai jelzésekkel meg kell jelölnie.",,1
38,"Milyen kötelezettség terheli a kishajó vezetõjét, ha víziutat elzáró ismeretlen akadályt észlel?","Haladéktalanul be kell jelentenie a legközelebbi illetékes hatóságnál, a lehetõ legpontosabban megjelölve az észlelt akadály helyét és amennyiben az veszélyezteti a hajózást, lehetõség szerint a helyet köteles megjelölni.","Gondoskodnia kell az észlelt akadály eltávolításáról, ha ezt nem tudja megtenni, gondoskodnia kell annak megjelölésérõl.",A térségben közlekedõ - rádióforgalmazásra kötelezett hajót - figyelmeztetnie kell az illetékes hatóság felé történõ bejelentési kötelezettségére.,,1
39,"Terheli-e kötelezettség a kishajó vezetõjét, ha mûtárgyat (pl. zsilip, híd) rongál meg?",Köteles tájékoztatni a térségben közlekedõ hajókat az eseményrõl.,Köteles haladéktalanul értesíteni a legközelebbi illetékes hatóságot.,Köteles haladéktalanul értesíteni a mûtárgy üzemeltetõjét és a károkozással kapcsolatban felelõsségvállalásáról nyilatkozni.,,2
40,Milyen kötelezettség hárul a kishajó vezetõjére a hajón tartózkodó személyek biztonságát fenyegetõ balesetnél?,A vezetõ a lehetõ legrövidebb idõn belül köteles értesíteni a legközelebbi illetékes hatóságot intézkedésüket kérve a veszélyeztetett személyek kimentése érdekében.,A vezetõ köteles minden mentõeszközt a veszélyeztetett személyek számára átadni.,A vezetõnek minden rendelkezésre álló eszközt fel kell használnia e személyek mentése érdekében.,,3
41,"Köteles-e segítséget nyújtani a kishajó vezetõje, ha egy nem kishajó emberéletet veszélyeztetõ balesetet szenvedett?","A gazdasági célú tevékenységet végzõ kishajó vezetõjét igen, a kedvtelési célú hajó vezetõjét nem, mivel e kérdésben kevésbé jártas.","Nem, mert a kishajókra a nagyhajóktól eltérõ szabályok vonatkoznak.","Igen, saját kishajójának biztonságával összeegyeztethetõ mértékben, hiszen ilyen esetben a Szabályzat nem tesz különbséget a hajók között.",,3
42,Milyen kötelezettség hárul az elsüllyedt kishajó vezetõjére?,A helyszín elhagyását követõen haladéktalanul intézkednie kell a kishajó kiemelésérõl és a hatóságoknak jelentenie kell a megtett intézkedéseket.,"A legrövidebb idõn belül értesítenie kell a legközelebbi illetékes hatóságot és az elsüllyedt kishajó közelében kell maradnia, amíg a kiemelés el nem kezdõdik.","A legrövidebb idõn belül értesítenie kell a legközelebbi illetékes hatóságot a történtekrõl és a vezetõnek vagy a személyzet egy tagjának a hajón vagy a káreset közelében kell maradnia, amíg az illetékes hatóság a helyszín elhagyását nem engedélyezi.",,3
43,Milyen kötelezettség hárul a fennakadt kishajó vezetõjére?,A helyszín elhagyását követõen haladéktalanul intézkednie kell a kishajó leszabadításáról és a hatóságoknak jelentenie kell a megtett intézkedéseket.,"A legrövidebb idõn belül értesítenie kell a legközelebbi illetékes hatóságot és a fennakadt kishajó közelében kell maradnia, amíg a leszabadítás meg nem történik.","A legrövidebb idõn belül értesítenie kell a legközelebbi illetékes hatóságot a történtekrõl és a vezetõnek vagy a személyzet egy tagjának a hajón vagy a káreset közelében kell maradnia, amíg az illetékes hatóság a helyszín elhagyását nem engedélyezi.",,3
44,Milyen kötelezettség hárul a hajóútban vagy annak közelében fennakadt kishajó vezetõjére az alábbiak közül?,Csak bejelentési kötelezettsége van az illetékes hatóságok felé.,"A legközelebbi illetékes hatóság felé bejelentési, az elõírt jelzések kihelyezésére, valamint más hajók számára vonatkozó tájékoztatási kötelezettsége van.",Csak más hajók tájékoztatására vonatkozó kötelezettsége van.,,2
45,Milyen elõírás vonatkozik a kishajó sebességének megválasztására?,"A kishajó csak olyan sebességgel haladhat, amelyet a víziútra vonatkozóan az illetékes hatóság meghatároz.",A kishajónak mindenkor biztonságos sebességgel kell haladnia.,A kishajónak mindig a manõverképességének fenntartásához szükséges maximális sebességgel kell haladnia.,,2
46,"Folytassa! A kötelezõ gondosságból, bevált szakmai gyakorlatból fakadóan a kishajó vezetõjének a Szabályzat külön rendelkezése hiányában is","meg kell tennie valamennyi elõvigyázatossági intézkedést, hogy elkerülje a hajókban vagy az úszó testek kötelékeiben, partban és a hajóútban okozott kárt.","meg kell tennie valamennyi elõvigyázatossági intézkedést, hogy elhárítson minden a hajókban vagy az úszó testek kötelékeiben okozott kárt.","meg kell tennie valamennyi elõvigyázatossági intézkedést, hogy megóvja a kishajó személyzetének és minden más személynek testi épségét.",,1
47,"Folytassa! A kötelezõ gondosságból, bevált szakmai gyakorlatból fakadóan a kishajó vezetõjének a Szabályzat külön rendelkezése hiányában is","meg kell tennie valamennyi elõvigyázatossági intézkedést, hogy megóvja a kishajó személyzetének és minden más személynek testi épségét.","meg kell tennie valamennyi elõvigyázatossági intézkedést, hogy elkerülje az emberéletet fenyegetõ veszélyt.","meg kell tennie valamennyi elõvigyázatossági intézkedést, hogy más kishajót hirtelen sebesség- vagy irányváltoztatásra ne kényszerítsen.",,2
48,"Folytassa! A kötelezõ gondosságból, bevált szakmai gyakorlatból fakadóan a kishajó vezetõjének a Szabályzat külön rendelkezése hiányában is","meg kell tennie valamennyi elõvigyázatossági intézkedést, hogy épségben megõrizze a kishajóra rendszeresített okmányokat, Bizonyítványokat.","meg kell tennie valamennyi elõvigyázatossági intézkedést, hogy biztosítsa a Szabályzatban meghatározott valamennyi jelzés mindenkori észlelhetõségét.","meg kell tennie valamennyi elõvigyázatossági intézkedést, hogy elkerülje a hajózás akadályozását.",,3
49,"Folytassa! A kötelezõ gondosságból, bevált szakmai gyakorlatból fakadóan a kishajó vezetõjének a Szabályzat külön rendelkezése hiányában is","meg kell tennie valamennyi elõvigyázatossági intézkedést, hogy megakadályozza a hullámkeltést és szívóhatást ezzel víziközlekedési balesetek kialakulását.","meg kell tennie valamennyi elõvigyázatossági intézkedést, hogy elkerülje a kishajón tartózkodó személyeknek okozott károkat.","meg kell tennie valamennyi elõvigyázatossági intézkedést, hogy elhárítsa a hajón tartózkodók fröccsenõ víz általi szennyezõdését.",,2
50,"Folytassa! A kötelezõ gondosságból, bevált szakmai gyakorlatból fakadóan a kishajó vezetõjének a Szabályzat külön rendelkezése hiányában is","meg kell tennie valamennyi elõvigyázatossági intézkedést, hogy elkerülje a kikötõi és partfali berendezésekben és a környezetben okozott károkat.","meg kell tennie valamennyi elõvigyázatossági intézkedést, hogy elhárítson minden a hajókban vagy az úszó testek kötelékeiben, partban és a hajóútban okozott kárt.","meg kell tennie valamennyi elõvigyázatossági intézkedést, hogy megakadályozza a navigációs berendezések és (ha van a rádiótelefon) rendeltetéstõl eltérõ használatát.",,1
51,"Folytassa! A kötelezõ gondosságból, bevált szakmai gyakorlatból fakadóan a kishajó vezetõjének a Szabályzat külön rendelkezése hiányában is","meg kell tennie valamennyi elõvigyázatossági intézkedést, hogy biztosítsa a Szabályzatban meghatározott valamennyi jelzés mindenkori észlelhetõségét.","meg kell tennie valamennyi elõvigyázatossági intézkedést, hogy más kishajót hirtelen sebesség- vagy irányváltoztatásra ne kényszerítsen.","meg kell tennie valamennyi elõvigyázatossági intézkedést, hogy elkerülje a hajóút közvetlen közelében lévõ bármilyen mûtárgyban, illetve berendezésben okozott kárt.",,3
52,"Mi a kötelezettsége a kishajó vezetõjének is, ha a víziút jelei, jelzései hiányoznak?",Köteles a kötelezõ gondosság érdekében minden szükséges biztonsági intézkedés megtételére.,A hiányzó jel vagy jelzés elõtt köteles várakozni!,"Az illetékes hatóság értesítését követõen, kellõ óvatossággal csak a legközelebbi biztonságos horgonyzó helyig hajózhat.",,1
53,Milyen elõírás vonatkozik a kishajó felszerelésére és szerkezetére az alábbiak közül?,A kishajó szerkezetének meg kell felelnie a Szabályzatban foglalt követelményeknek és a Hajók Mûszaki Felügyeleti Elõírásainak.,"A kishajó szerkezetének és felszerelésének biztosítania kell a rajtuk tartózkodó személyek és a hajózás biztonságát, továbbá a Szabályzatban foglalt követelmények megtartását.","A kishajó szerkezetének biztosítania kell a rajtuk tartózkodó személyek kényelmét, felszerelésének meg kell felelnie a szabványokban elõírt követelményeknek.",,2
54,Milyen biztonsági elõírást tartalmaz a Szabályzat I. része a hajó felszerelésével kapcsolatban az alábbiak közül?,"A hajónak rendelkeznie kell a hajóbizonyítványban feltüntetett utasok számára alkalmas, valamint a felnõtt és gyermekkorúak közötti megoszlásnak megfelelõ mennyiségû mentõeszközökkel.",A hajónak rendelkeznie kell a hajóbizonyítványban feltüntetett befogadóképességnek megfelelõ mennyiségû mentõeszközzel.,A hajónak rendelkeznie kell a hajóbizonyítványban feltüntetett befogadóképességet 10 %-ban meghaladó mennyiségû a gyermekkorú utasoknak alkalmas mentõeszközzel.,,1
55,Folytassa! A kishajó vezetõje köteles,végrehajtani az illetékes hatóságoknak a hajózás biztonsága vagy a hajózás rendje érdekében kiadott rendelkezéseit.,"betartani a Szabályzat tételes elõírásait, valamint az illetékes hatóságok írásba foglalt átmeneti rendelkezéseit.","figyelembe venni az illetékes hatóságok víziút állapotára, annak hajózhatóságára, valamint az idõjárási viszonyokra vonatkozó közérdekû (rádióban, televízióban közzétett) tájékoztatóit.",,1
56,Milyen kötelezettséget hárul a kishajó vezetõjére az illetékes hatóság rendelkezéseivel kapcsolatban?,"Köteles végrehajtani az illetékes hatóság(ok), de kizárólag csak az írásban közölt rendelkezéseit és utasításait.",Köteles végrehajtani az illetékes hatóság(ok) hajózás biztonsága vagy a hajózás rendje érdekében kiadott rendelkezéseit.,Köteles végrehajtani az illetékes hatóság(ok) bármilyen helyszínen kiadott utasításait.,,2
57,Folytassa! Az illetékes hatóságok jogosultak,hajó üzemeltetésével kapcsolatosan bármilyen rendelkezés kiadására.,"a hajó személyzetének tevékenységére, munkavégzésére vonatkozóan rendelkezni.",a hajózás biztonságát és megfelelõ rendjét érintõ rendelkezések kiadására.,,3
58,"Mit jelez a tábla, ha azt hajón helyezik el?",A hajón tilos a dohányzás!,A dohányzás vagy a nyílt láng használata tilos!,A dohányzás és nem védett világítótest vagy nyílt láng használata tilos!,teszt-1585.jpg,3
59,"Mit jelent a képen látható jelzés, ha azt egy hajón helyezték el?",Tilos a hajó mellé állni és tõle 25 méter távolságon belül vesztegelni!,A hajótól mért 25 méteres távolságon belül megengedett a horgonyzás.,A hajótól mért 25 méteres távolságon túl tilos a veszteglés!,teszt-1586.jpg,1
60,Haladhatnak-e a hajók párhuzamosan?,"Igen, kivéve a gyorsjáratú hajók egymás melletti, valamint kishajó és kishajónak nem tekinthetõ hajó egymás melletti párhuzamos haladását.",Egymás mellett párhozamosan tilos hajózni!,"Igen, ha az erre rendelkezésre álló szabad tér ezt lehetõvé teszi, és amikor ez a hajózást nem akadályozza, illetve nem veszélyezteti.",,3
61,"Folytassa! Elõzés, illetve találkozás kivételével tilos az egészségre ártalmas árut szállító hajótól/köteléktõl",50 m távolságon belül haladni!,30 m távolságon belül haladni!,25 m távolságon belül haladni!,teszt-0794.jpg,1
62,"Folytassa! Elõzés, illetve találkozás kivételével tilos a robbanásveszélyes árut szállító hajótól/köteléktõl",50 m távolságon belül haladni!,30 m távolságon belül haladni!,25 m távolságon belül haladni!,xxx-1141.jpg,1
63,"Mielõtt vízisíelõt vontatna, mire hívja fel a figyelmét? Figyelmeztetem, hogy vízisíelõnek menetben lévõ hajótól, úszó testek kötelékétõl és munkát végzõ úszómunkagéptõl",kellõ távolságot kell tartania!,legalább 25 m távolságot kell tartania!,legalább 30 m távolságot kell tartania!,,1
64,A kötelezõ gondosságon túl milyen elõírás vonatkozik a hajó sebességének megválasztására?,"A hajónak - a kishajó kivételével - úgy kell szabályozni sebességét, hogy ne keltsen olyan hullámot vagy szívóhatást, amely menetben lévõ vagy veszteglõ hajóban vagy a mûtárgyban kárt okozhat!","A hajónak úgy kell szabályozni sebességét, hogy ne keltsen olyan hullámot vagy szívóhatást, amely menetben lévõ vagy veszteglõ hajóban vagy a mûtárgyban kárt okozhat!","A hajónak mindig olyan sebességgel kell haladnia, amely biztosítja mûveletképességét még akkor is, ha azzal hullámot vagy szívóhatást kelt.",,2
65,Hogyan kell elhajózni hullámzás elleni védelem jelzéseit viselõ hajó mellett? Az elhaladás során a hajók kötelesek,kellõ távolságot kell tartani tõle.,a lehetõ legnagyobb oldaltávolságot tartani tõle!,legalább 50 m távolságot kell tartani tõle.,xxx-3679.jpg,2
66,Hogyan kell elhajózni hullámzás elleni védelem jelzéseit viselõ hajó mellett? Az elhaladás során a hajók kötelesek,kellõ távolságot kell tartani tõle.,a lehetõ legnagyobb oldaltávolságot tartani tõle!,legalább 50 m távolságot kell tartani tõle.,xxx-3725.jpg,2
67,Hogyan kell elhajózni hullámzás elleni védelem jelzéseit viselõ munkát végzõ úszómunkagép mellett? Az elhaladás során a hajók kötelesek,kellõ távolságot kell tartani tõle.,a lehetõ legnagyobb oldaltávolságot tartani tõle!,legalább 50 m távolságot kell tartani tõle.,xxx-0162.jpg,2
68,Hogyan kell elhajózni hullámzás elleni védelem jelzéseit viselõ munkát végzõ úszómunkagép mellett? Az elhaladás során a hajók kötelesek,kellõ távolságot kell tartani tõle.,a lehetõ legnagyobb oldaltávolságot tartani tõle!,legalább 50 m távolságot kell tartani tõle.,xxx-0054.jpg,2
69,Milyen követelményt támaszt a Szabályzat a kizárólag kishajókból álló köteléket továbbító kisgéphajóval szemben?,A vízfelszínhez képest legalább 15 km/óra sebességet kell elérnie.,Gépi meghajtó berendezésének motorteljesítménye 50 kW-nál nem lehet kisebb.,Elegendõ gépteljesítménnyel kell rendelkeznie a kötelék megfelelõ mûveletképességének biztosításához.,xxx-0059.jpg,3
